SID,source,date,ema,sh-support_1,sh-support_4,sh-support_5,sh-support_6,sh-support_7,sh-support_8,sh-support_9,sh-loneliness_18,sh-loneliness_35,sh-loneliness_36,sh-loneliness_37,sh-loneliness_38,sh-loneliness_39,sh-loneliness_40,sh-loneliness_41,sh-loneliness_42,sh-loneliness_43,sh-loneliness_44,sh-loneliness_45,sh-loneliness_46,sh-loneliness_47,sh-loneliness_48,sh-loneliness_49,sh-loneliness_50,sh-loneliness_51,sh-loneliness_52,sh-loneliness_53,sh-isolation_kids_01,sh-isolation_kids_02,sh-isolation_kids_03,sh-isolation_kids_04,sh-isolation_family_01,sh-isolation_family_02,sh-isolation_family_03,sh-isolation_family_04,sh-isolation_friends_01,sh-isolation_friends_02,sh-isolation_friends_03,sh-isolation_friends_04,BFI_E_1,BFI_E_2,BFI_E_3,BFI_E_4,BFI_E_5,BFI_E_6,BFI_E_7,BFI_E_8,BFI_E_9,BFI_E_10,BFI_E_11,BFI_E_12,BFI_A_1,BFI_A_2,BFI_A_3,BFI_A_4,BFI_A_5,BFI_A_6,BFI_A_7,BFI_A_8,BFI_A_9,BFI_A_10,BFI_A_11,BFI_A_12,BFI_C_1,BFI_C_2,BFI_C_3,BFI_C_4,BFI_C_5,BFI_C_6,BFI_C_7,BFI_C_8,BFI_C_9,BFI_C_10,BFI_C_11,BFI_C_12,BFI_N_1,BFI_N_2,BFI_N_3,BFI_N_4,BFI_N_5,BFI_N_6,BFI_N_7,BFI_N_8,BFI_N_9,BFI_N_10,BFI_N_11,BFI_N_12,BFI_O_1,BFI_O_2,BFI_O_3,BFI_O_4,BFI_O_5,BFI_O_6,BFI_O_7,BFI_O_8,BFI_O_9,BFI_O_10,BFI_O_11,BFI_O_12,E_angry,E_afraid,E_happy,E_excited,E_proud,E_guilty,E_attentive,E_content,E_purposeful,E_goaldir,CT_1,CT_2,CT_3,pur_01,pur_02,pur_03,pur_04,pur_05,pur_06,pur_07,SWL_1,SWL_2,SWL_3,SWL_4,SWL_5,SAT_1,SAT_2,SAT_3,SAT_4,SAT_5,SAT_6,SAT_7,SAT_8,SAT_9,sud_MINI_1,sud_MINI_2,sud_dudit_1,sud_dudit_2,sud_dudit_3,sud_dudit_4,sud_dudit_5,sud_dudit_6,sud_dudit_7,sud_dudit_10,sud_dudit_11,sud_dudit_14,sud_dudit_15,sud_dudit_16,sud_dudit_17,sud_dudit_18,sud_dudit_19,sud_dudit_20,sud_dudit_21,chron_MEQ_01,chron_MEQ_02,chron_MEQ_03,chron_MEQ_04,chron_MEQ_05,chron_MEQ_06,chron_MEQ_07,chron_MEQ_08,chron_MEQ_09,chron_MEQ_10,chron_MEQ_11,chron_MEQ_12,chron_MEQ_13,chron_MEQ_14,chron_MEQ_15,chron_MEQ_16,chron_MEQ_17,chron_MEQ_18,chron_MEQ_19,chron_MEQ_20,demo_YOB,demo_age,demo_hispanic,demo_ethnicity_1,demo_ethnicity_2,demo_ethnicity_3,demo_ethnicity_4,demo_ethnicity_5,demo_ethnicity_6,demo_ethnicity_7,demo_education,demo_mom_edu,demo_dad_edu,demo_gender,demo_gender_3_TEXT,demo_english,demo_country,demo_relationship,demo_nChildren,demo_livingSituation,demo_employment,demo_workHours,demo_workDaily,demo_workWeekly,demo_income,demo_zipChildhood,demo_zipCurrent,demo_typicalWake,demo_earliestWake,demo_latestWake,demo_typicalBed,demo_earliestBed,demo_latestBed,demo_orientation,demo_orientation_4_TEXT,demo_libconserv_1,demo_relAct,demo_church,cog_date,Matching_Shapes_and_Numbers,Fast_Reactions,Remembering_Words_Test,Thinking_Back,Visual_Patterns,Vocabulary
16623,UCD Sona,2024-06-20T11:22:07Z,TRUE,3,4,3,2,2,3,2,4,1,1,2,3,4,1,1,4,3,1,2,1,1,4,3,1,2,4,4,2,2,6,6,3,4,4,6,2,4,6,6,5,5,1,2,5,4,2,4,5,5,1,2,5,4,1,2,4,5,2,4,5,2,4,2,4,1,5,5,2,2,4,5,2,4,4,4,4,5,1,1,4,2,2,2,4,4,2,1,5,3,1,2,4,5,2,4,2,2,2,4,4,4,4,5,4,2,4,2,4,4,Funny,Personable,Fashionable,2,3,2,2,4,2,1,2,2,5,6,2,5,6,6,4,4,1,5,3,4,"Meth, BDO, mushrooms, coke, marijuana, DMT",50% meth and 50% BDO,5,5,3,3,1,1,1,1,0,0,0,0,3,0,0,0,0,2,4,5,4,2,2,1,2,4,2,5,2,1,2,1,2,2,5,4,3,1977,47,0,NA,NA,NA,NA,1,NA,NA,3,3,3,1,NA,1,United States,6,0,3,8,2,1,3,$45000,95003,95825,09:30 AM,05:15 AM,11:00 AM,02:30 AM,11:30 PM,02:30 AM,1,NA,2,4,2,2024-06-20 07:22:19,,,,,,
16523,UCD Sona,2024-06-20T12:15:56Z,TRUE,1,2,3,3,3,2,1,2,3,3,2,3,3,3,4,3,2,3,3,2,4,3,4,3,3,2,2,2,2,5,3,5,3,6,6,6,5,4,3,3,3,5,3,3,4,3,1,3,4,1,4,5,5,5,1,5,5,1,1,5,5,1,3,5,4,3,1,5,5,2,3,5,5,3,1,2,3,4,4,3,2,5,3,1,3,5,5,3,3,2,2,4,4,2,1,5,5,2,1,1,3,5,4,3,3,5,4,5,4,Empathethic,Giving,Discreet,4,6,1,1,5,4,1,1,1,2,3,2,2,2,3,4,1,1,3,6,6,N/a no drugs taken,N/A,1,1,1,1,1,1,1,1,NA,0,0,0,0,NA,0,0,0,0,1,2,1,4,4,2,4,1,1,4,0,1,1,1,1,2,1,1,0,1971,52,0,1,NA,1,NA,NA,NA,NA,10,7,4,1,NA,1,USA and others due to military moves,6,1,2,7,4,1,3,$1,Military moves,23464,06:00 AM,06:00 AM,08:00 AM,01:00 am,12:00 am,01:30 am,1,NA,4,5,6,2024-06-20 08:16:11,,,,,,
20377,TMB,2024-06-28T00:31:45Z,TRUE,3,3,2,3,2,4,3,2,4,3,4,1,2,4,3,3,2,4,2,4,4,2,2,3,3,2,2,6,6,6,6,3,3,6,6,3,5,6,5,4,3,3,4,2,4,2,2,2,4,2,1,5,5,1,4,5,5,2,2,4,4,2,3,4,2,3,2,4,2,2,4,2,2,4,5,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,3,5,5,1,1,2,4,2,1,2,4,2,2,2,5,2,1,4,1,Funny,Intelligent,Loving,4,2,5,6,2,2,2,1,1,1,1,2,5,2,1,4,1,1,3,1,3,"Marijuana, Meth, Cocaine, Adderall",Meth,3,1,1,1,1,2,5,2,2,1,1,0,0,1,1,1,1,2,4,5,4,NA,1,2,1,4,4,5,1,1,4,1,2,2,4,4,3,1979,46,0,NA,NA,NA,NA,1,NA,NA,3,6,2,1,NA,1,USA,6,0,3,3,1,4,4,$80000,66061,66204,11:00 AM,9:00 AM,3:00 PM,1:00 AM,11:00 PM,3:00 AM,1,NA,3,1,1,NA,,,,,,
75250,TMB,2024-07-07T00:28:18Z,FALSE,2,2,2,3,2,3,4,3,4,3,4,3,2,3,3,3,2,4,4,4,3,2,1,3,4,2,4,6,6,6,6,4,2,6,6,3,2,6,6,5,2,2,4,3,4,1,4,2,2,4,4,5,4,1,1,4,4,1,2,4,1,3,4,2,2,4,5,2,3,4,4,2,3,4,3,3,3,2,3,4,4,4,2,2,4,4,4,4,1,1,3,3,4,1,3,3,3,3,1,1,4,2,3,4,2,2,2,3,2,Kind,Caring,Emotional,1,6,2,2,5,2,5,1,1,1,5,1,1,3,1,2,1,1,3,3,3,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,3,4,2,3,3,2,3,2,3,1,2,4,3,2,3,3,3,2,1962,62,1,NA,NA,1,NA,NA,NA,NA,2,2,2,1,NA,1,United States,1,0,0,1,1,4,4,$14900,Bronx. Ny,10473,08:30 AM,07:30 AM,09:00 AM,11:00 AM,10:00 AM,01:30 AM,1,NA,1,5,5,2024-07-06 20:28:33,,,,,,
17890,UCD Sona,2024-07-10T20:58:48Z,TRUE,3,3,3,1,1,2,2,3,3,4,3,1,3,3,4,3,2,4,3,4,3,2,2,3,4,3,2,1,1,1,1,6,6,6,6,4,4,6,6,3,4,4,4,4,5,2,1,4,4,3,1,5,5,1,1,5,5,1,1,4,5,1,2,4,4,3,3,4,5,1,3,4,4,2,1,4,3,3,3,4,4,4,5,2,4,2,3,5,5,1,1,5,5,1,1,5,5,1,1,1,2,4,3,3,1,5,4,5,5,Driven,Creative,Spontaneous,4,4,1,1,3,4,1,6,6,6,4,6,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,3,2,2,3,1,2,2,3,1,3,2,1,4,4,4,2,1970,53,2,NA,NA,NA,NA,1,1,NA,6,6,6,1,NA,0,Usa,4,2,1,8,2,1,1,$30000,01301,01376,07:00 am,06:00 am,08:00 am,10:30 pm,09:30 pm,12:00 am,1,NA,4,1,1,2024-07-10 16:58:53,,,,,,
17037,UCD Sona,2024-07-10T20:59:08Z,TRUE,4,4,4,1,1,4,1,4,1,1,1,3,4,1,1,3,4,1,1,1,1,4,4,2,1,4,4,3,6,5,5,5,6,3,1,3,6,4,2,3,3,4,4,2,2,3,3,4,4,3,2,5,5,2,1,5,5,1,2,5,4,2,2,4,4,1,1,5,5,3,2,5,5,2,1,1,1,5,5,1,1,5,5,1,1,5,4,5,3,3,2,5,5,1,1,5,4,1,1,1,1,5,2,3,1,4,5,4,3,Intelligent,Caring,Peaceful,1,5,2,1,5,6,2,7,7,7,7,5,7,6,7,6,6,7,6,7,6,NA,NA,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,4,3,1,3,2,1,3,2,1,2,3,3,2,1,1954,69,0,NA,NA,NA,NA,1,NA,NA,5,5,4,0,NA,1,USA,2,0,1,5,1,4,4,$150000,98248,95758,06:00 AM,06:00 AM,07:00 AM,10:00 PM,09:00 PM,11:00 PM,1,NA,3,1,1,2024-07-10 16:59:20,,,,,,
5695,UCD Sona,2024-07-10T21:44:21Z,TRUE,1,2,1,2,2,3,2,4,3,1,1,4,4,1,2,4,4,1,1,2,1,4,4,3,1,4,4,5,4,5,3,2,1,1,3,1,2,1,1,5,4,2,4,5,4,1,2,5,5,2,1,5,5,1,1,5,5,1,1,5,2,1,2,5,4,1,1,5,5,1,1,5,5,NA,1,4,1,5,5,1,1,4,5,1,1,5,5,5,5,1,1,5,5,1,1,5,5,1,1,1,1,5,5,5,2,5,5,5,5,Loyal,Empathetic,Caring,2,3,1,1,6,6,1,5,6,6,3,3,3,7,6,7,4,7,3,6,7,None,None,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3,3,3,2,1,1,2,2,3,3,1,1,4,3,2,1,4,4,3,1956,68,0,NA,NA,NA,NA,1,NA,NA,6,3,5,1,NA,1,United States,2,0,1,5,1,4,4,$300000,10583,34285,08:00 AM,08:00 AM,10:00 AM,12:00 AM,11:00 PM,02:00 AM,1,NA,2,1,1,2024-07-10 17:44:46,,,,,,
12455,UCD Sona,2024-07-10T21:53:40Z,FALSE,3,4,3,1,1,4,1,4,1,1,2,4,4,1,2,4,4,2,2,2,2,4,4,3,2,4,4,4,1,1,1,5,3,3,2,3,3,3,1,4,5,2,2,4,4,2,3,3,4,1,3,5,4,1,1,5,5,1,1,2,3,3,1,5,4,1,1,5,5,1,2,5,5,2,1,2,2,2,4,1,1,2,5,1,2,5,4,4,4,2,3,4,3,3,4,5,4,2,1,1,1,5,4,5,1,5,5,5,5,Fun,Sometimes loud,Impatient,1,6,1,1,6,6,2,6,7,6,7,6,3,3,7,4,4,7,6,6,3,"Ibuprofen, decongestants",Decongestants,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2,4,3,1,0,1,3,2,4,3,3,1,1967,57,0,NA,NA,NA,NA,1,NA,NA,6,5,5,1,NA,1,America,2,0,1,6,1,4,4,$250000,91316,37072,08:00 AM,07:00 AM,08:30 AM,10:30 PM,10:00 PM,11:30 PM,1,NA,5,1,1,2024-07-10 17:53:48,,,,,,
7448,UCD Sona,2024-07-10T21:55:29Z,TRUE,2,3,3,3,2,1,3,2,4,4,4,2,2,4,3,3,2,4,3,4,4,2,2,3,4,2,2,1,1,1,1,5,1,1,1,6,6,6,6,3,4,3,4,2,4,2,4,1,2,5,5,5,4,1,2,4,5,2,1,4,2,4,4,5,4,4,2,3,4,4,5,4,4,2,2,4,5,1,1,4,3,1,2,4,4,3,2,4,4,2,3,4,4,5,2,3,4,4,4,2,4,3,2,2,4,3,3,4,4,Kind,Caring,Empathetic,1,3,2,2,5,5,3,4,3,2,5,1,6,1,2,2,6,4,1,2,2,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,2,4,2,3,1,2,4,3,2,1,1,3,3,1,2,4,3,3,1973,50,0,1,NA,NA,NA,1,NA,NA,6,6,4,1,NA,1,United States,2,2,1,8,4,1,1,$120000,"Silver City, New México",94533,06:00 AM,06:00 AM,07:00 AM,11:00 PM,08:00 PM,12:00 AM,1,NA,3,2,2,2024-07-10 17:55:37,,,,,,
10400,UCD Sona,2024-07-10T22:06:18Z,TRUE,4,4,3,3,2,3,2,3,2,2,3,4,3,2,2,3,4,2,2,2,2,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,4,2,2,4,5,1,2,5,4,1,1,5,5,1,1,5,5,2,4,4,4,2,1,5,5,2,2,5,5,1,2,2,2,5,4,2,1,5,5,1,4,5,5,5,5,1,1,5,5,1,1,5,4,2,1,1,1,5,5,1,1,4,4,5,5,Happy,Friendly,brave,1,6,6,2,5,1,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,2,4,3,3,4,2,4,1,0,0,2,3,4,3,2,3,1,1976,47,0,NA,1,NA,NA,NA,NA,NA,7,6,6,1,NA,0,Sri Lanka,2,2,1,8,4,1,1,$48000,Sri lanka - out of USA,95616,06:45 AM,06:00 AM,09:00 AM,11:30 PM,10:30 PM,03:00 AM,1,NA,3,1,2,2024-07-10 18:06:33,,,,,,
8649,UCD Sona,2024-07-10T22:10:55Z,FALSE,2,1,2,3,2,1,1,2,3,2,2,3,3,2,NA,4,2,2,2,2,2,3,3,1,3,3,2,1,2,1,1,3,4,4,5,6,6,5,5,4,3,3,2,3,3,2,3,4,3,2,1,4,4,1,1,4,4,1,1,5,4,1,3,3,4,1,1,5,5,1,1,3,4,2,1,3,2,5,2,2,2,3,4,2,2,3,2,3,2,1,1,5,5,3,1,5,4,1,2,2,2,5,3,3,1,3,4,2,4,very caring,easy to get along with,hard worker,5,5,1,1,3,3,1,3,3,4,5,4,6,4,3,4,2,5,6,6,7,NA,NA,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,1,2,1,2,3,1,2,2,2,3,3,2,1955,68,0,NA,NA,NA,NA,1,NA,NA,3,2,2,1,NA,1,US,2,0,1,5,1,4,4,$25000,43845,43832,6:30 am,6:30am,7:00am,9:30 PM,9:00pm,9:00pm,1,NA,3,1,1,2024-07-10 18:11:28,,,,,,
8649,UCD Sona,2024-07-10T22:10:55Z,FALSE,2,1,2,3,2,1,1,2,3,2,2,3,3,2,NA,4,2,2,2,2,2,3,3,1,3,3,2,1,2,1,1,3,4,4,5,6,6,5,5,4,3,3,2,3,3,2,3,4,3,2,1,4,4,1,1,4,4,1,1,5,4,1,3,3,4,1,1,5,5,1,1,3,4,2,1,3,2,5,2,2,2,3,4,2,2,3,2,3,2,1,1,5,5,3,1,5,4,1,2,2,2,5,3,3,1,3,4,2,4,very caring,easy to get along with,hard worker,5,5,1,1,3,3,1,3,3,4,5,4,6,4,3,4,2,5,6,6,7,NA,NA,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,1,2,1,2,3,1,2,2,2,3,3,2,1955,68,0,NA,NA,NA,NA,1,NA,NA,3,2,2,1,NA,1,US,2,0,1,5,1,4,4,$25000,43845,43832,6:30 am,6:30am,7:00am,9:30 PM,9:00pm,9:00pm,1,NA,3,1,1,2024-07-10 18:11:28,,,,,,
9020,UCD Sona,2024-07-10T22:52:27Z,TRUE,3,3,4,1,1,3,2,4,2,1,3,2,4,1,3,4,3,1,1,3,3,3,3,3,1,4,4,1,2,6,2,5,3,6,5,4,2,6,1,4,5,2,4,4,4,3,3,3,4,1,1,5,4,1,3,5,5,2,2,4,5,2,2,4,5,1,1,5,5,2,2,5,5,1,3,5,4,4,2,1,1,5,4,1,1,5,5,5,5,1,1,5,5,2,1,3,3,2,3,1,4,4,4,3,1,5,4,5,5,compassionate,optimistic,flexible,1,6,1,1,6,5,1,6,6,7,6,5,6,4,6,4,7,5,6,6,3,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2,4,4,2,3,1,1,3,0,1,1,4,1,2,2,3,1,1973,51,3,NA,NA,NA,NA,NA,NA,1,7,1,2,1,NA,1,USA,2,2,1,8,4,1,3,$215000,94561,95618,7:30 AM,7:00 AM,8:30 AM,11:30 PM,10:30 PM,12:30 AM,1,NA,1,1,1,2024-07-10 18:52:39,,,,,,
6565,UCD Sona,2024-07-11T00:19:09Z,TRUE,2,3,2,3,2,3,3,2,3,3,4,2,2,3,4,3,1,3,4,4,4,2,2,3,4,3,3,6,6,6,6,3,2,1,6,2,2,2,6,4,2,4,3,2,3,2,4,2,3,4,2,4,4,2,2,5,5,2,1,1,3,4,2,4,5,2,1,4,4,3,3,5,5,2,2,4,4,4,4,5,5,2,3,4,3,4,4,4,3,2,2,2,4,4,2,2,2,4,4,2,4,2,3,3,4,4,2,4,4,Dependable,Respectful,Hardworking,2,2,5,5,3,4,4,4,5,5,5,4,5,5,6,5,4,6,6,4,2,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,4,3,3,3,3,2,2,2,1,3,3,3,1,4,4,3,2,1950,74,0,NA,1,NA,NA,NA,NA,NA,6,4,4,1,NA,1,USA,3,0,1,5,1,4,4,$100000,90247,95831,06:30 AM,06:30 AM,07:30AM,10:30PM,10:00PM,11:30 PM,1,NA,6,1,1,2024-07-10 20:19:24,,,,,,
7040,UCD Sona,2024-07-11T00:38:46Z,TRUE,3,3,3,1,1,2,2,4,2,1,3,2,3,2,3,3,3,3,1,1,2,3,2,1,2,2,3,1,1,1,2,3,3,3,5,4,4,4,4,4,3,3,1,4,4,3,2,2,3,2,4,4,5,1,1,5,5,2,1,5,5,1,1,5,2,4,4,4,5,1,2,5,5,1,1,2,3,4,5,1,1,4,5,1,1,5,5,5,4,1,4,5,5,4,1,5,5,1,1,3,1,4,3,5,1,5,4,5,5,Dependable,Helpful,Steady,2,5,1,2,2,5,1,2,2,2,5,3,7,5,7,5,5,1,1,5,4,NA,NA,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,1,2,2,2,3,1,1,3,4,2,2,2,2,1,1969,55,0,NA,NA,NA,NA,1,NA,NA,5,5,4,0,NA,1,United States of America,2,0,1,8,3,1,1,$90000,93940,95618,06:15 AM,06:00 AM,07:00 AM,11:00 PM,10:00 PM,00:00 am,1,NA,1,1,1,2024-07-10 20:38:55,,,,,,
5627,UCD Sona,2024-07-11T02:40:31Z,TRUE,3,3,4,2,1,3,2,3,3,1,3,3,4,1,3,3,4,3,1,2,3,4,4,3,3,4,4,6,6,6,6,1,1,1,6,3,2,1,6,3,2,4,4,3,1,2,3,1,3,3,5,5,4,1,1,5,5,2,2,5,3,1,1,1,1,5,3,1,4,2,4,4,4,2,4,5,4,1,1,4,3,2,2,4,2,2,1,5,4,1,1,5,5,1,1,4,4,2,4,2,4,4,3,2,4,5,3,2,2,Kind,Insightful,Artistic,2,3,4,4,3,6,1,2,5,3,3,2,6,3,7,2,4,3,2,3,4,Melatonin tylenol,Melatonin,5,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,2,3,2,2,2,2,2,2,3,3,1,1,1,3,1,4,3,3,2,1957,67,0,NA,NA,NA,NA,1,NA,NA,7,7,7,1,NA,1,usa germany japan thailand,2,0,1,5,1,4,4,$75000,Washington D.C.,95864,7:45 AM,6:45 AM,8:45 AM,11:45 PM,11:30 PM,12:15 AM,1,NA,3,1,1,2024-07-10 22:40:40,,,,,,
8970,UCD Sona,2024-07-11T02:54:40Z,TRUE,3,2,3,3,2,3,3,3,4,4,4,2,2,4,3,3,2,4,4,4,4,2,2,3,3,2,2,4,4,6,4,5,4,6,2,6,6,6,2,4,4,1,2,2,2,4,2,1,2,4,5,4,5,1,2,5,5,2,1,2,2,2,4,4,2,2,1,2,3,5,5,4,4,4,4,4,4,2,2,4,5,2,2,2,2,4,3,5,5,2,1,5,5,1,1,4,4,1,4,2,4,2,2,2,4,4,2,4,4,talkative,musical,hard-working,4,3,4,5,3,2,4,1,3,2,2,1,5,2,1,2,5,5,1,2,2,"alcohol, cannibis",alcohol,5,3,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,1,1,3,4,3,2,1,4,2,3,3,4,4,3,1969,55,0,NA,NA,NA,NA,1,NA,NA,5,1,3,1,NA,1,United States,1,0,0,8,4,1,1,$85000,95051,94121,05:00 AM,04;30 AM,05:30 AM,10:00 PM,09:00 PM,11:00 PM,3,NA,1,1,1,2024-07-10 22:54:52,,,,,,
5999,UCD Sona,2024-07-11T05:10:36Z,TRUE,3,4,3,2,1,2,2,3,3,2,3,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,1,2,2,3,1,5,4,2,4,3,4,2,2,4,4,2,3,4,4,3,2,4,5,3,2,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,2,4,4,3,4,4,2,3,4,4,4,2,3,5,5,2,2,4,5,4,2,4,5,4,3,2,2,4,4,4,1,4,4,4,3,Funny,Nice,Outgoing,4,3,3,4,4,3,2,6,6,6,6,5,6,6,5,5,4,6,5,5,5,NA,NA,1,1,1,1,1,1,1,4,1,2,2,2,0,2,2,0,2,2,4,4,2,3,2,2,2,2,3,4,1,1,4,2,2,2,3,4,2,1974,50,0,NA,NA,NA,NA,1,NA,NA,4,2,5,1,NA,1,US,2,2,1,6,1,4,4,$95000,13790,95610,10:30 Am,09:30,11:00,02:00,1:00,03:00,1,NA,2,1,1,NA,,,,,,
12508,UCD Sona,2024-07-11T12:50:36Z,TRUE,3,3,3,3,3,1,3,3,4,3,3,2,3,4,3,3,2,3,3,3,3,2,2,3,3,2,2,1,1,1,1,5,1,1,1,6,6,6,4,2,4,4,4,5,2,2,2,4,3,2,3,5,4,1,2,4,4,4,4,4,2,5,5,5,3,2,2,5,5,2,2,5,4,2,4,5,5,3,2,4,3,2,4,3,4,2,3,4,4,1,2,5,5,2,1,5,4,2,1,4,3,2,4,NA,1,4,2,5,5,Intentional,Organized,Empathetic,1,5,4,3,6,4,1,2,5,2,6,1,5,2,2,2,2,5,3,3,3,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,4,4,2,2,3,2,4,3,4,1,1,4,3,2,2,3,3,2,1968,55,0,NA,NA,NA,NA,1,NA,NA,7,3,6,1,NA,1,United States,2,1,1,8,4,1,1,$190000,75234,01730,06:00 AM,06:00AM,08:00 AM,12:00 PM,11:00 PM,01:00 PM,1,NA,2,1,1,2024-07-11 08:50:44,,,,,,
58909,TMB,2024-07-11T14:36:29Z,FALSE,2,3,3,3,3,3,4,2,4,3,4,1,2,3,3,3,2,4,4,4,4,2,2,4,3,2,2,2,2,6,6,6,4,6,6,2,1,2,5,2,3,4,5,3,2,3,3,1,3,4,4,5,4,3,4,5,5,3,3,4,3,4,4,3,NA,5,4,2,4,5,5,NA,3,4,5,4,5,2,2,5,5,1,1,5,4,1,1,3,3,3,3,4,3,5,3,2,3,5,3,4,4,1,3,1,4,3,1,4,1,Humor,Empathy,Polite,1,1,6,6,4,1,3,1,1,2,1,1,3,3,1,1,1,1,3,1,1,Marijuana,Marijuana,5,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,3,2,2,1,2,1,2,2,0,1,2,3,2,2,3,3,0,1957,66,0,NA,NA,NA,NA,1,NA,NA,2,1,1,1,NA,1,USA,1,0,0,1,1,4,4,$11000,Passaic NJ,23434,06:00 am,04:00 am,8:30am,I0:00 pm,08:00 pm,1:30 am,1,NA,NA,1,1,2024-07-11 10:36:46,,,,,,
17295,UCD Sona,2024-07-11T15:11:02Z,TRUE,3,3,2,1,1,3,1,4,1,2,1,4,3,1,2,3,4,1,1,3,1,4,3,3,4,2,4,1,1,6,1,2,1,6,2,3,3,6,1,2,3,4,5,4,4,2,1,4,2,4,2,4,3,2,3,5,5,2,1,5,3,3,2,5,2,3,5,5,5,2,1,5,5,4,1,4,5,1,2,1,1,3,5,2,2,5,5,4,4,1,2,3,3,4,4,4,2,5,3,2,3,4,2,5,3,4,3,5,5,corteous,goal oriented,worrier,1,6,1,1,6,4,1,6,7,6,5,5,7,6,4,5,5,5,6,6,4,NA,NA,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,1,2,3,3,3,1,3,1,3,2,1,0,2,1,1,2,2,2,1,1972,52,1,NA,NA,NA,NA,1,NA,NA,6,2,0,1,NA,0,Mexico,6,2,1,8,4,1,1,$53000,"88000 Nuevo Laredo, Tamaulipas, Mexico",78043,05:00 AM,05:00 AM,07:00 AM,10:00 PM,09:30 PM,10:45 PM,1,NA,4,5,3,NA,,,,,,
45422,TMB,2024-07-11T15:25:53Z,TRUE,4,3,3,2,1,3,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,3,2,3,3,1,1,1,1,3,1,5,3,3,3,3,1,2,3,3,5,2,2,3,4,3,5,1,2,5,4,1,1,4,4,2,3,3,4,4,2,5,4,1,1,4,4,2,4,5,5,1,1,4,4,2,2,2,2,3,3,2,2,4,4,4,4,2,2,4,4,2,2,4,2,2,1,3,2,4,5,4,3,4,4,4,4,kindness,intelligence,integrity,1,6,2,1,6,6,1,6,6,6,7,5,6,5,7,5,5,5,5,5,6,NA,NA,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,3,3,2,4,4,4,2,2,2,3,0,2,2,3,1,3,2,3,0,1968,56,0,NA,NA,NA,NA,1,NA,NA,6,6,6,1,NA,1,United States,2,0,1,5,1,4,4,$220000,20861,23837,07:30 AM,07:00 AM,08:00 AM,10:00 PM,09:00 PM,01:00 AM,1,NA,NA,5,6,2024-07-11 11:26:10,,,,,,
19904,TMB,2024-07-11T15:27:46Z,FALSE,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,3,3,3,2,4,4,2,3,3,3,4,3,3,3,4,3,3,3,4,2,2,2,3,4,3,2,2,3,3,4,2,2,3,3,2,2,3,3,4,2,3,4,2,4,2,4,4,2,4,4,2,4,3,3,3,2,2,3,3,2,2,4,2,3,3,2,3,4,3,4,2,3,4,3,4,3,4,2,3,3,2,2,2,4,4,4,NA,NA,NA,4,3,4,2,3,4,3,4,5,2,5,2,6,3,4,2,4,2,3,3,5,NA,NA,1,2,1,1,1,1,1,2,1,2,1,2,3,3,0,1,0,2,3,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2,1,1970,54,0,1,NA,NA,NA,NA,NA,NA,4,4,4,1,NA,1,US,2,0,1,8,4,1,1,$75000,CA,95842,07:30 AM,07:00 AM,11:00 AM,11:00 PM,09:30 PM,12:00 PM,1,NA,4,2,2,2024-07-11 11:28:07,,,,,,
